Rowid_,VALUE,COUNT,OBJECTID,VALUE_1,CLASSNAMES,R,G,B,RED,GREEN,BLUE
,11,487225359,1,11,Open Water,0,0,255,0.000000000000000,0.000000000000000,1.000000000000000
,12,1599206,2,12,Snow/Ice,159,161,240,0.623529000000000,0.631373000000000,0.941176000000000
,13,23494563,3,13,Developed-Upland Deciduous Forest,64,61,168,0.250980000000000,0.239216000000000,0.658824000000000
,14,20836076,4,14,Developed-Upland Evergreen Forest,68,79,137,0.266667000000000,0.309804000000000,0.537255000000000
,15,21381893,5,15,Developed-Upland Mixed Forest,102,119,205,0.400000000000000,0.466667000000000,0.803922000000000
,16,71401097,6,16,Developed-Upland Herbaceous,122,142,245,0.478431000000000,0.556863000000000,0.960784000000000
,17,32719504,7,17,Developed-Upland Shrubland,158,170,215,0.619608000000000,0.666667000000000,0.843137000000000
,22,82804804,12,22,Developed - Low Intensity,255,122,143,1.000000000000000,0.478431000000000,0.560784000000000
,23,41831224,13,23,Developed - Medium Intensity,253,44,79,0.992157000000000,0.172549000000000,0.309804000000000
,24,17042032,14,24,Developed - High Intensity,173,0,28,0.678431000000000,0.000000000000000,0.109804000000000
,25,213337710,15,25,Developed-Roads,1,1,1,0.003922000000000,0.003922000000000,0.003922000000000
,31,96911598,16,31,Barren,191,191,191,0.749020000000000,0.749020000000000,0.749020000000000
,32,7087150,17,32,Quarries-Strip Mines-Gravel Pits,230,232,250,0.901961000000000,0.909804000000000,0.980392000000000
,61,5271913,19,61,NASS-Vineyard,168,0,132,0.658824000000000,0.000000000000000,0.517647000000000
,63,2461216,21,63,NASS-Row Crop-Close Grown Crop,255,245,140,1.000000000000000,0.960784000000000,0.549020000000000
,64,976960717,22,64,NASS-Row Crop,250,255,119,0.980392000000000,1.000000000000000,0.466667000000000
,65,140096036,23,65,NASS-Close Grown Crop,255,237,119,1.000000000000000,0.929412000000000,0.466667000000000
,68,221160328,26,68,NASS-Wheat,250,227,163,0.980392000000000,0.890196000000000,0.639216000000000
,69,975028,27,69,NASS-Aquaculture,210,255,237,0.823529000000000,1.000000000000000,0.929412000000000
,100,85484103,38,100,Sparse Vegetation Canopy,122,127,117,0.478431000000000,0.498039000000000,0.458824000000000
,101,139512071,39,101,Tree Cover >= 10 and < 20%,204,255,153,0.800000000000000,1.000000000000000,0.600000000000000
,102,186509915,40,102,Tree Cover >= 20 and < 30%,174,224,130,0.682353000000000,0.878431000000000,0.509804000000000
,103,260745313,41,103,Tree Cover >= 30 and < 40%,145,196,108,0.568627000000000,0.768627000000000,0.423529000000000
,104,343183213,42,104,Tree Cover >= 40 and < 50%,119,171,87,0.466667000000000,0.670588000000000,0.341176000000000
,105,432823117,43,105,Tree Cover >= 50 and < 60%,94,145,68,0.368627000000000,0.568627000000000,0.266667000000000
,106,520610800,44,106,Tree Cover >= 60 and < 70%,70,120,50,0.274510000000000,0.470588000000000,0.196078000000000
,107,744574532,45,107,Tree Cover >= 70 and < 80%,51,99,36,0.200000000000000,0.388235000000000,0.141176000000000
,108,320490775,46,108,Tree Cover >= 80 and < 90%,32,79,22,0.125490000000000,0.309804000000000,0.086275000000000
,109,10530520,47,109,Tree Cover >= 90 and <= 100%,0,51,0,0.000000000000000,0.200000000000000,0.000000000000000
,111,261318172,48,111,Shrub Cover >= 10 and < 20%,212,178,125,0.831373000000000,0.698039000000000,0.490196000000000
,112,764398910,49,112,Shrub Cover >= 20 and < 30%,209,161,113,0.819608000000000,0.631373000000000,0.443137000000000
,113,499131782,50,113,Shrub Cover >= 30 and < 40%,204,145,102,0.800000000000000,0.568627000000000,0.400000000000000
,114,86899913,51,114,Shrub Cover >= 40 and < 50%,199,126,90,0.780392000000000,0.494118000000000,0.352941000000000
,115,27341476,52,115,Shrub Cover >= 50 and < 60%,194,110,79,0.760784000000000,0.431373000000000,0.309804000000000
,116,3861303,53,116,Shrub Cover >= 60 and < 70%,189,94,70,0.741176000000000,0.368627000000000,0.274510000000000
,117,984325,54,117,Shrub Cover >= 70 and < 80%,181,76,60,0.709804000000000,0.298039000000000,0.235294000000000
,118,337111,55,118,Shrub Cover >= 80 and < 90%,176,59,51,0.690196000000000,0.231373000000000,0.200000000000000
,119,81196,56,119,Shrub Cover >= 90 and <= 100%,158,0,32,0.619608000000000,0.000000000000000,0.125490000000000
,121,20687830,57,121,Herb Cover >= 10 and < 20%,255,204,102,1.000000000000000,0.800000000000000,0.400000000000000
,122,69714381,58,122,Herb Cover >= 20 and < 30%,255,186,89,1.000000000000000,0.729412000000000,0.349020000000000
,123,228327264,59,123,Herb Cover >= 30 and < 40%,255,169,77,1.000000000000000,0.662745000000000,0.301961000000000
,124,468729866,60,124,Herb Cover >= 40 and < 50%,255,154,66,1.000000000000000,0.603922000000000,0.258824000000000
,125,513065423,61,125,Herb Cover >= 50 and < 60%,255,134,54,1.000000000000000,0.525490000000000,0.211765000000000
,126,320078899,62,126,Herb Cover >= 60 and < 70%,255,117,43,1.000000000000000,0.458824000000000,0.168627000000000
,127,159792435,63,127,Herb Cover >= 70 and < 80%,255,100,33,1.000000000000000,0.392157000000000,0.129412000000000
,128,38778059,64,128,Herb Cover >= 80 and < 90%,255,85,23,1.000000000000000,0.333333000000000,0.090196000000000
,129,6161424,65,129,Herb Cover >= 90 and <= 100%,255,51,0,1.000000000000000,0.200000000000000,0.000000000000000
